Model year,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Price
1996,Used,Automatic,Saloon,Petrol,1500,190000,1775000
2007,Used,Automatic,Saloon,Petrol,1598,112000,3375000
1973,Used,Manual,Saloon,Petrol,1200,73000,295000
1991,Used,Manual,Station wagon,Diesel,1800,150000,1200000
2007,Used,Automatic,Saloon,Petrol,1598,112000,3375000
1997,Used,Automatic,Saloon,Diesel,1970,240743,2175000
2003,Used,Automatic,Saloon,Petrol,1500,147000,2775000
1993,Used,Manual,Saloon,Diesel,1970,38000,1500000
1997,Used,Automatic,Saloon,Petrol,1500,190000,1990000
1997,Used,Automatic,Station wagon,Diesel,2000,220000,1675000
2002,Used,Automatic,Saloon,Petrol,1500,160000,2850000
1995,Used,Manual,Saloon,Petrol,1500,300000,1800000
2002,Used,Automatic,Saloon,Petrol,1500,143000,2850000
1976,Used,Manual,Saloon,Petrol,1200,211000,270000
1999,Used,Manual,Saloon,Petrol,1500,217000,1970000
2008,Used,Automatic,Saloon,Petrol,1600,105000,3075000
2017,Used,Automatic,Saloon,Petrol,1500,32000,6350000
2000,Used,Automatic,Saloon,Petrol,1500,120000,2975000
1988,Used,Manual,Saloon,Petrol,1300,165000,665000
2000,Used,Automatic,Saloon,Petrol,1500,119000,2800000
2008,Used,Automatic,Saloon,Petrol,1600,105000,3075000
1984,Used,Manual,Station wagon,Petrol,1300,22785,485000
2008,Used,Automatic,Saloon,Petrol,1600,150000,3650000
1996,Used,Automatic,Station wagon,"Diesel, Other fuel type",2000,180200,1490000
1991,Used,Manual,Station wagon,Petrol,1300,143000,995000
2003,Used,Manual,Hatchback,Petrol,1300,240000,2650000
1995,Used,Manual,Saloon,Diesel,2000,180000,1150000
2008,Used,Automatic,Saloon,"Petrol, Other fuel type",1600,32500,3500000
2005,Used,Automatic,Saloon,Petrol,1500,170000,3725000
1996,Used,Manual,Hatchback,Petrol,1300,200000,1350000
2001,Used,Automatic,Saloon,Petrol,1490,212053,3090000
1997,Used,Automatic,Saloon,Diesel,1990,156000,1895000
2004,Used,Automatic,Saloon,Petrol,1500,135000,2785000
1990,Used,Manual,Saloon,Petrol,1500,173000,1250000
1991,Used,Manual,Hatchback,Petrol,1500,175000,1690000
1999,Used,Automatic,Station wagon,Petrol,1500,168900,1735000
1997,Used,Automatic,Station wagon,Diesel,1970,208000,1550000
1997,Used,Automatic,Saloon,Petrol,1500,140000,2350000
2001,Used,Automatic,Saloon,Petrol,1490,212053,3090000
1984,Used,Manual,Saloon,Petrol,1200,150000,740000
1994,Used,Automatic,Saloon,Petrol,1500,150000,1850000
1999,Used,Manual,Saloon,Petrol,1500,162500,2100000
2007,Used,Automatic,Saloon,Petrol,1600,92000,3200000
1997,Used,Automatic,Saloon,Petrol,1490,199703,2130000
2006,Used,Manual,Saloon,Petrol,1300,175000,2775000
1984,Used,Manual,Saloon,Petrol,1300,220000,715000
1997,Used,Automatic,Saloon,Petrol,1500,200000,2150000
2001,Used,Automatic,Saloon,Petrol,1500,200000,2695000
2001,Used,Manual,Saloon,Petrol,1500,88000,2525000
1997,Used,Manual,Station wagon,Diesel,1997,234000,1475000
2008,Used,Automatic,Saloon,Petrol,1590,100000,2975000
1987,Used,Manual,Station wagon,Petrol,1300,180000,550000
1996,Used,Automatic,Hatchback,Diesel,1970,250000,1325000
2000,Used,Manual,Saloon,Petrol,1590,219000,2825000
2008,Used,Automatic,Saloon,Petrol,1590,100000,2975000
1997,Used,Automatic,Saloon,Diesel,2000,147977,1765000
1992,Used,Manual,Saloon,Petrol,1330,125000,1550000
2003,Used,Automatic,Saloon,Petrol,1500,185000,3100000
2002,Used,Automatic,Saloon,Petrol,1500,161000,3125000
1997,Used,Automatic,Saloon,Diesel,2000,350000,2175000
2004,Used,Automatic,Saloon,Petrol,1500,110000,3175000
1993,Used,Manual,Hatchback,Petrol,1330,215000,1400000
1992,Used,Manual,Saloon,Petrol,2000,129000,1655000
1986,Used,Manual,Hatchback,Petrol,1400,230000,390000
1990,Used,Automatic,Station wagon,Petrol,1290,130000,1150000
2002,Used,Automatic,Saloon,Petrol,1497,225000,2850000
1990,Used,Manual,Station wagon,Diesel,1330,317258,1150000
1987,Used,Manual,Station wagon,Petrol,1290,100000,635000
1996,Used,Automatic,Saloon,Diesel,2000,260000,1650000
1998,Used,Manual,Saloon,Petrol,1500,161000,1995000
1986,Used,Manual,Station wagon,Petrol,1300,201500,700000
1991,Used,Manual,Saloon,Petrol,1500,225000,1250000
2001,Used,Automatic,Saloon,Petrol,1500,230000,3050000
2002,Used,Automatic,Saloon,Petrol,1500,160000,3200000
2007,Used,Manual,Saloon,Diesel,2000,110000,3575000
2004,Used,Automatic,Saloon,Petrol,1500,115000,3150000
1997,Used,Automatic,Saloon,Diesel,2000,98000,2050000
1996,Used,Automatic,Hatchback,Petrol,1300,135862,1410000
2008,Used,Automatic,Saloon,Petrol,1598,130000,3300000
1996,Used,Manual,Saloon,Diesel,1970,150000,1435000
2007,Used,Manual,Saloon,Diesel,2000,110000,3575000
2004,Used,Automatic,Saloon,Petrol,1500,134000,3400000
2002,Used,Automatic,Saloon,Petrol,1500,129000,3075000
2008,Used,Automatic,Saloon,Petrol,1598,160000,3150000
2000,Used,Automatic,Saloon,Petrol,1300,72000,2375000
1994,Used,Manual,Saloon,Petrol,1300,190000,1425000
1997,Used,Automatic,Saloon,Diesel,2000,162000,1965000
1997,Used,Automatic,Saloon,Diesel,2000,162000,1965000
1986,Used,Manual,Station wagon,Petrol,1300,220000,765000
1997,Used,Automatic,Saloon,Diesel,2000,162000,1965000
2004,Used,Manual,Saloon,Petrol,1300,165000,2700000
2000,Used,Automatic,Saloon,Petrol,1500,200000,2100000
